0.402295,0.7385803,-9.48486E-05;0.4406285,0.585197,0.0200621;0.5029363,0.4955747,0.03846111;0.5623671,0.4340555,0.0662123;0.5996593,0.3860714,0.1049083;0.6389527,0.6021034,0.003178878;0.7479038,0.5460865,0.03934006;0.8069444,0.5110117,0.0682777;0.8439805,0.4823616,0.08953851;0.6486315,0.6851423,0.03404149;0.7735237,0.6365643,0.06567972;0.8421569,0.6031961,0.08720126;0.886614,0.5774133,0.09998617;0.6378615,0.7518152,0.07527131;0.7462708,0.7172281,0.113487;0.8110065,0.69023,0.140315;0.8512559,0.6663569,0.1584646;0.6140354,0.8066349,0.1212346;0.6972119,0.7993169,0.1528149;0.7413975,0.7876785,0.1680278;0.7711099,0.7743022,0.1809067;
0.402295,0.7385803,-9.48486E-05;0.4406285,0.585197,0.0200621;0.5029363,0.4955747,0.03846111;0.5623671,0.4340555,0.0662123;0.5996593,0.3860714,0.1049083;0.6389527,0.6021034,0.003178878;0.7479038,0.5460865,0.03934006;0.8069444,0.5110117,0.0682777;0.8439805,0.4823616,0.08953851;0.6486315,0.6851423,0.03404149;0.7735237,0.6365643,0.06567972;0.8421569,0.6031961,0.08720126;0.886614,0.5774133,0.09998617;0.6378615,0.7518152,0.07527131;0.7462708,0.7172281,0.113487;0.8110065,0.69023,0.140315;0.8512559,0.6663569,0.1584646;0.6140354,0.8066349,0.1212346;0.6972119,0.7993169,0.1528149;0.7413975,0.7876785,0.1680278;0.7711099,0.7743022,0.1809067;
0.4035674,0.7381098,-0.0001106139;0.4383627,0.5866317,0.01581082;0.4995603,0.4958081,0.0269088;0.5615564,0.431848,0.04846737;0.602547,0.3819605,0.07970647;0.6350421,0.6012064,-0.01148316;0.7477756,0.5460821,0.01830061;0.8077194,0.5123401,0.04505235;0.8454208,0.4849191,0.06645145;0.6457902,0.6850746,0.01938823;0.7737734,0.6348267,0.04694529;0.841869,0.6022795,0.0685868;0.8855039,0.5767695,0.0816516;0.6359476,0.7526678,0.06106912;0.74777,0.716165,0.09623417;0.8119898,0.6896266,0.1206792;0.8519995,0.6661677,0.1371258;0.6132773,0.8086065,0.1074691;0.6987724,0.7989145,0.1358849;0.7440592,0.7870471,0.1477736;0.7760148,0.7729801,0.1567631;
0.4035674,0.7381098,-0.0001106139;0.4383627,0.5866317,0.01581082;0.4995603,0.4958081,0.0269088;0.5615564,0.431848,0.04846737;0.602547,0.3819605,0.07970647;0.6350421,0.6012064,-0.01148316;0.7477756,0.5460821,0.01830061;0.8077194,0.5123401,0.04505235;0.8454208,0.4849191,0.06645145;0.6457902,0.6850746,0.01938823;0.7737734,0.6348267,0.04694529;0.841869,0.6022795,0.0685868;0.8855039,0.5767695,0.0816516;0.6359476,0.7526678,0.06106912;0.74777,0.716165,0.09623417;0.8119898,0.6896266,0.1206792;0.8519995,0.6661677,0.1371258;0.6132773,0.8086065,0.1074691;0.6987724,0.7989145,0.1358849;0.7440592,0.7870471,0.1477736;0.7760148,0.7729801,0.1567631;
0.4035674,0.7381098,-0.0001106139;0.4383627,0.5866317,0.01581082;0.4995603,0.4958081,0.0269088;0.5615564,0.431848,0.04846737;0.602547,0.3819605,0.07970647;0.6350421,0.6012064,-0.01148316;0.7477756,0.5460821,0.01830061;0.8077194,0.5123401,0.04505235;0.8454208,0.4849191,0.06645145;0.6457902,0.6850746,0.01938823;0.7737734,0.6348267,0.04694529;0.841869,0.6022795,0.0685868;0.8855039,0.5767695,0.0816516;0.6359476,0.7526678,0.06106912;0.74777,0.716165,0.09623417;0.8119898,0.6896266,0.1206792;0.8519995,0.6661677,0.1371258;0.6132773,0.8086065,0.1074691;0.6987724,0.7989145,0.1358849;0.7440592,0.7870471,0.1477736;0.7760148,0.7729801,0.1567631;
0.4132637,0.7398183,-0.0001135302;0.4464943,0.5872273,0.02362538;0.5049055,0.4967847,0.04068386;0.561839,0.4340419,0.06760041;0.5983223,0.387039,0.1063928;0.6444094,0.5994835,0.00352964;0.7551499,0.5452963,0.03586069;0.8153455,0.5127597,0.06083769;0.8520054,0.4869162,0.08090932;0.6545355,0.6834028,0.03550321;0.7807724,0.6322576,0.06562155;0.8467109,0.5999354,0.08931034;0.8865453,0.5760006,0.1034059;0.6439688,0.7511669,0.07756955;0.7534894,0.7137775,0.116271;0.8168505,0.6865641,0.1442503;0.8551506,0.6633424,0.1635851;0.6206453,0.8070894,0.1250069;0.7037688,0.7972283,0.1581909;0.7488837,0.7847804,0.1739381;0.7802513,0.7711693,0.1858213;
0.4132637,0.7398183,-0.0001135302;0.4464943,0.5872273,0.02362538;0.5049055,0.4967847,0.04068386;0.561839,0.4340419,0.06760041;0.5983223,0.387039,0.1063928;0.6444094,0.5994835,0.00352964;0.7551499,0.5452963,0.03586069;0.8153455,0.5127597,0.06083769;0.8520054,0.4869162,0.08090932;0.6545355,0.6834028,0.03550321;0.7807724,0.6322576,0.06562155;0.8467109,0.5999354,0.08931034;0.8865453,0.5760006,0.1034059;0.6439688,0.7511669,0.07756955;0.7534894,0.7137775,0.116271;0.8168505,0.6865641,0.1442503;0.8551506,0.6633424,0.1635851;0.6206453,0.8070894,0.1250069;0.7037688,0.7972283,0.1581909;0.7488837,0.7847804,0.1739381;0.7802513,0.7711693,0.1858213;
0.4178502,0.7354329,-0.0001434799;0.4494991,0.5844174,0.01954448;0.5085849,0.4933197,0.03279996;0.5657067,0.4295608,0.05641294;0.603274,0.3830051,0.08978419;0.6485265,0.6008584,-0.002715211;0.7602463,0.5460021,0.02962914;0.8206978,0.5110181,0.05614001;0.8576968,0.4817719,0.07780886;0.6587166,0.6858099,0.03058576;0.7852838,0.6347422,0.06169239;0.8520148,0.6005089,0.08700884;0.8921077,0.5751592,0.1032675;0.6484237,0.7527726,0.07483602;0.7577326,0.7158551,0.1161207;0.8215378,0.6883544,0.1471528;0.8591494,0.6652936,0.1685436;0.6262428,0.8075486,0.1237366;0.710603,0.7965332,0.158866;0.7554458,0.7822949,0.1761848;0.7846844,0.76704,0.1899616;
0.4178502,0.7354329,-0.0001434799;0.4494991,0.5844174,0.01954448;0.5085849,0.4933197,0.03279996;0.5657067,0.4295608,0.05641294;0.603274,0.3830051,0.08978419;0.6485265,0.6008584,-0.002715211;0.7602463,0.5460021,0.02962914;0.8206978,0.5110181,0.05614001;0.8576968,0.4817719,0.07780886;0.6587166,0.6858099,0.03058576;0.7852838,0.6347422,0.06169239;0.8520148,0.6005089,0.08700884;0.8921077,0.5751592,0.1032675;0.6484237,0.7527726,0.07483602;0.7577326,0.7158551,0.1161207;0.8215378,0.6883544,0.1471528;0.8591494,0.6652936,0.1685436;0.6262428,0.8075486,0.1237366;0.710603,0.7965332,0.158866;0.7554458,0.7822949,0.1761848;0.7846844,0.76704,0.1899616;
0.4178502,0.7354329,-0.0001434799;0.4494991,0.5844174,0.01954448;0.5085849,0.4933197,0.03279996;0.5657067,0.4295608,0.05641294;0.603274,0.3830051,0.08978419;0.6485265,0.6008584,-0.002715211;0.7602463,0.5460021,0.02962914;0.8206978,0.5110181,0.05614001;0.8576968,0.4817719,0.07780886;0.6587166,0.6858099,0.03058576;0.7852838,0.6347422,0.06169239;0.8520148,0.6005089,0.08700884;0.8921077,0.5751592,0.1032675;0.6484237,0.7527726,0.07483602;0.7577326,0.7158551,0.1161207;0.8215378,0.6883544,0.1471528;0.8591494,0.6652936,0.1685436;0.6262428,0.8075486,0.1237366;0.710603,0.7965332,0.158866;0.7554458,0.7822949,0.1761848;0.7846844,0.76704,0.1899616;
0.4161999,0.7353771,-0.0001049608;0.4482274,0.5820915,0.01839301;0.5080303,0.4926554,0.03593342;0.5647906,0.4323229,0.06377301;0.6006453,0.3896341,0.1030728;0.6489103,0.5994478,0.002508484;0.7596591,0.5459763,0.0382116;0.8194261,0.5120043,0.06798112;0.8565756,0.4838416,0.09118017;0.6587501,0.6833727,0.03462176;0.7836216,0.634061,0.06680713;0.8509971,0.5991534,0.09043299;0.8935858,0.5727665,0.105105;0.6478062,0.7502204,0.07719226;0.7564528,0.7146193,0.1149594;0.8210664,0.6879196,0.142416;0.8611655,0.6649477,0.1614182;0.6241824,0.8048869,0.1242491;0.7090525,0.7950683,0.1543469;0.7547968,0.7821187,0.1682365;0.7859713,0.7674078,0.1789377;
0.4161999,0.7353771,-0.0001049608;0.4482274,0.5820915,0.01839301;0.5080303,0.4926554,0.03593342;0.5647906,0.4323229,0.06377301;0.6006453,0.3896341,0.1030728;0.6489103,0.5994478,0.002508484;0.7596591,0.5459763,0.0382116;0.8194261,0.5120043,0.06798112;0.8565756,0.4838416,0.09118017;0.6587501,0.6833727,0.03462176;0.7836216,0.634061,0.06680713;0.8509971,0.5991534,0.09043299;0.8935858,0.5727665,0.105105;0.6478062,0.7502204,0.07719226;0.7564528,0.7146193,0.1149594;0.8210664,0.6879196,0.142416;0.8611655,0.6649477,0.1614182;0.6241824,0.8048869,0.1242491;0.7090525,0.7950683,0.1543469;0.7547968,0.7821187,0.1682365;0.7859713,0.7674078,0.1789377;
0.424503,0.7396963,-0.0001306814;0.4518989,0.5862432,0.01936776;0.5127428,0.4946173,0.0345624;0.5681262,0.4335739,0.06070998;0.6037943,0.3866703,0.0984648;0.6543434,0.6042086,-0.009734007;0.7698312,0.5536304,0.02302329;0.8302265,0.5221747,0.05433106;0.8668514,0.4953744,0.08154333;0.6640847,0.6924694,0.02764733;0.794771,0.6416371,0.06030926;0.8587185,0.6070709,0.09411706;0.8950821,0.5825133,0.1174293;0.6535032,0.7606454,0.07510796;0.7663829,0.7225968,0.1169276;0.8291016,0.6933556,0.1513266;0.8654828,0.6699691,0.1757487;0.6309984,0.8136629,0.1282142;0.7164562,0.8026575,0.1674096;0.7610289,0.7889696,0.1881139;0.7893685,0.7763994,0.2031515;
0.424503,0.7396963,-0.0001306814;0.4518989,0.5862432,0.01936776;0.5127428,0.4946173,0.0345624;0.5681262,0.4335739,0.06070998;0.6037943,0.3866703,0.0984648;0.6543434,0.6042086,-0.009734007;0.7698312,0.5536304,0.02302329;0.8302265,0.5221747,0.05433106;0.8668514,0.4953744,0.08154333;0.6640847,0.6924694,0.02764733;0.794771,0.6416371,0.06030926;0.8587185,0.6070709,0.09411706;0.8950821,0.5825133,0.1174293;0.6535032,0.7606454,0.07510796;0.7663829,0.7225968,0.1169276;0.8291016,0.6933556,0.1513266;0.8654828,0.6699691,0.1757487;0.6309984,0.8136629,0.1282142;0.7164562,0.8026575,0.1674096;0.7610289,0.7889696,0.1881139;0.7893685,0.7763994,0.2031515;
